HOUSEID,VEHID,DRVRCNT,HHFAMINC,HHSIZE,HHVEHCNT,NUMADLT,HYBRID,URBAN,URBANSIZE,URBRUR,VEHCOMM,VEHOWNMO,VEHYEAR,WRKCOUNT,VEHAGE,HOMEOWN,HOMETYPE,LIF_CYC,ANNMILES,FUELTYPE,GSYRGAL,GSTOTCST,VEHTYPE
20051596,1,2,18,2,2,2,2,1,2,1,2,24,2007,2,2,1,1,02,2500,4,140,447,1
20067346,1,1,4,1,1,1,2,2,6,1,2,12,2004,1,5,2,3,01,8000,4,400,1323,3
20068941,1,1,10,2,1,1,2,4,6,2,2,36,2005,1,4,1,1,05,20000,4,472,1488,1
20077309,1,3,18,4,4,3,2,1,4,1,2,48,2004,1,5,1,1,06,5000,4,268,842,3
20079424,2,2,18,2,2,2,2,1,4,1,2,60,2002,2,7,1,1,02,35000,4,806,2390,1
20080596,2,3,3,4,3,3,2,1,4,1,2,48,2002,2,7,1,1,06,2000,4,590,1710,3
20093738,2,3,12,3,3,3,2,4,6,2,2,24,2007,2,2,1,2,02,12000,4,518,1524,1
20106647,2,2,18,5,2,2,2,1,4,1,2,12,2004,2,5,1,1,06,13000,4,641,1860,1
20133821,1,1,5,1,1,1,2,2,6,1,2,12,2006,1,3,1,3,09,1100,4,69,211,1
20140306,1,2,18,2,2,2,2,4,6,2,2,18,2005,2,4,1,1,02,15000,4,342,1014,1
20161712,3,1,17,1,3,1,2,1,3,1,2,72,2003,0,6,1,1,09,1000,4,30,88,1
20162232,1,5,18,8,6,5,2,1,5,1,2,2,2009,4,1,1,1,04,12000,4,297,899,1
20162232,3,5,18,8,6,5,2,1,5,1,2,1,2009,4,1,1,1,04,4500,4,1748,5296,4
20162830,1,2,7,2,1,2,2,1,5,1,2,60,2003,0,6,1,1,10,8000,4,442,1351,2
20173265,1,2,18,2,2,2,2,1,1,1,2,1,2006,1,3,1,1,02,10800,4,391,1134,1
20181130,2,2,17,2,2,2,2,1,1,1,2,36,2005,2,4,1,2,02,15000,4,1208,3865,1
20197261,2,2,18,2,4,2,2,2,6,1,2,36,2005,2,4,1,1,02,12000,4,691,2045,3
20198615,1,2,1,2,4,2,2,4,6,2,2,36,2004,1,5,1,1,10,20000,4,441,1411,1
20217084,1,3,18,3,3,2,1,1,4,1,2,12,2007,1,2,1,1,08,8000,4,102,298,1
20234009,2,2,12,2,2,2,2,2,6,1,2,24,2006,1,3,1,1,10,8000,4,326,1044,1
20289483,1,1,17,2,3,2,2,4,6,2,1,48,2003,1,6,1,1,02,16000,4,712,2156,2
20323837,1,3,9,3,3,3,2,4,6,2,2,24,2006,3,3,1,1,02,30000,4,638,1932,1
20330929,1,3,18,6,3,4,2,2,6,1,2,5,2007,4,2,1,1,06,9600,4,601,1745,1
20391694,1,4,18,4,7,4,2,4,6,2,1,60,2003,2,6,1,1,10,3000,4,267,882,4
20406383,3,2,14,2,3,2,2,1,5,1,2,48,2005,0,4,1,1,10,5000,4,567,1717,1
20430708,2,2,14,2,3,2,2,4,6,2,2,24,2002,2,7,1,1,02,14000,4,531,1607,4
20437323,1,2,15,2,2,2,2,4,6,2,2,24,2005,1,4,1,1,02,25000,4,1224,4051,3
20447032,1,3,18,4,3,2,2,1,3,1,2,11,2005,3,4,1,1,06,13090.90909,4,469,1421,1
20478858,1,1,10,1,1,1,2,1,5,1,2,60,2005,0,4,1,1,09,14000,4,615,1883,1
